Table S4: Adult mosquitoes collected in the case control and expanded surveys in Dire Dawa ,,,,,,,,,,
Place of collection,Resting site positivity,Survey days,An. stephensi,An. gambiae,An. turkhudi,An. pretoriensis,An. funestus,Un-identified,Aedes aegypti,Culex
Case control ,,,,,,,,,,
City indoor,0.6%(1/157),54,1,0,0,0,0,0,14,0
City outdoor,0.6%(1/157),54,0,0,1,0,0,0,15,0
DDU indoor,7.5%(10/133),30,17,0,0,0,0,0,0,0
DDU outdoor,3.8%(5/133),30,12,0,0,0,0,0,0,0
Outdoor (Pilot adult survey)*,,,,,,,,,,
Animal shelter,100%(9/9) ,5,249,3,0,0,0,0,0,0
Manholes/Ditch,100%(6/6),4,28,13,0,1,0,0,0,0
Empty water storage tankers,100%(4/4),3,30,0,0,0,0,0,0,0
Fortnightly survey in the city **,,,,,,,,,,
Indoor (without animal shelter),0.0%(0/15),4,0,0,0,0,0,0,0,13
Outdoor  (without animal shelter),6.7%(1/15),4,0,0,0,0,1,0,0,3
Indoor + Animal Shelter,6.7%(1/15),6,4,0,0,0,0,0,1,5
Outdoor + Animal Shelter,60.0%(9/15),6,223,0,0,0,0,0,2,1
Fortnightly survey in the University,,,,,,,,,,
Indoor***,4.2%(13/313),9,12,0,0,0,0,1,0,0
Outdoor,100%(6/6),3,23,0,0,0,0,0,0,0
Total,,,599,16,1,1,1,1,32,22
,,,,,,,,,,
* Adult mosquitos collected from outside of houses involved in the case control study in Goro and Dire dawa university; ,,,,,,,,,,
**The expanded survey in the city was done in three rounds for each collection place; ,,,,,,,,,,
***The expanded survey at DDU included an adult mosquito survey in four buildings that were fortnightly sampled .,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
