,long,lat,names,malpos.hh
1,41.83928296,9.59232783,NA,0
2,41.84569261,9.588128504,NA,0.333333333
310,41.80517849,9.622618432,NA,0
4,41.84591838,9.590096101,NA,0.25
5,41.84357314,9.594849292,NA,0.25
6,41.84686769,9.599131508,NA,0
7,41.83979399,9.600129211,NA,0.333333333
8,41.84377444,9.594974117,NA,0.285714286
9,41.84271929,9.596157233,NA,0.333333333
10,41.84560219,9.58820152,NA,0
11,41.84498132,9.597791899,NA,0
12,41.84247509,9.594162679,NA,0
13,41.84315336,9.592539985,NA,0.2
14,41.84572589,9.597568955,NA,0.25
15,41.8451164,9.587798973,NA,0
16,41.84495145,9.597484982,NA,0.2
17,41.84424058,9.5930189,NA,0
18,41.84360957,9.595942131,NA,0.166666667
19,41.83555034,9.593361229,NA,0
20,41.84509055,9.597791,NA,0
21,41.84256943,9.594559409,NA,0.333333333
22,41.84383362,9.59333844,NA,0
23,41.83669146,9.588283662,NA,0
241,41.84330742,9.592457412,NA,1
25,41.83935081,9.59501044,NA,0.25
26,41.84842314,9.602262591,NA,0
27,41.84462608,9.599944957,NA,0
28,41.84777164,9.598374231,NA,0.25
29,41.84660229,9.598962042,NA,0
30,41.84131659,9.59714445,NA,0.5
31,41.84393044,9.594033278,NA,0.333333333
32,41.84290062,9.592795019,NA,0
33,41.83910197,9.592455793,NA,0
34,41.84098749,9.598068642,NA,0.666666667
35,41.84922388,9.608751552,NA,0
36,41.84308044,9.595801932,NA,0
37,41.83818123,9.593384837,NA,0
38,41.8493036,9.600873112,NA,0
39,41.8399623,9.593017892,NA,0
40,41.84376606,9.592878251,NA,0.5
41,41.84123336,9.59371213,NA,0
42,41.84545452,9.587958811,NA,0
43,41.84588914,9.590954589,NA,0.333333333
44,41.84156571,9.594269523,NA,0.333333333
45,41.84140641,9.596999164,NA,0
46,41.85305254,9.611565714,NA,0
47,41.84031216,9.590214411,NA,0.333333333
48,41.84146227,9.593872867,NA,0.25
49,41.8406807,9.602759922,NA,0
50,41.84734316,9.59829645,NA,0
51,41.84372898,9.592797248,NA,0.142857143
521,41.81595042,9.60308868,NA,0
53,41.83758943,9.595557908,NA,0
54,41.83534721,9.595205882,NA,0
55,41.84385988,9.60520916,NA,0
56,41.84428637,9.591961522,NA,0
57,41.82604922,9.603503179,NA,0
58,41.84014856,9.593522281,NA,0
59,41.8472438,9.596210374,NA,0.333333333
60,41.82655387,9.595205543,NA,0
61,41.84173052,9.593292475,NA,0
62,41.84353732,9.593828722,NA,0.666666667
63,41.83491725,9.603701613,NA,0
641,41.84631429,9.590634897,NA,1
65,41.83764276,9.597590176,NA,0
66,41.84448633,9.609368767,NA,0
67,41.84641758,9.59755423,NA,0.25
68,41.83807057,9.596493523,NA,0
691,41.86339626,9.565252877,NA,0.5
70,41.83960183,9.593454493,NA,0
71,41.8286838,9.600671966,NA,0
72,41.8504273,9.602444828,NA,0.666666667
73,41.84433388,9.594382297,NA,0.285714286
741,41.81254032,9.607931783,NA,0
75,41.84765959,9.596947754,NA,0.5
76,41.84604366,9.587655841,NA,0
77,41.83783782,9.596965213,NA,0
78,41.84624227,9.626654749,NA,0.166666667
79,41.84601166,9.59036636,NA,0
80,41.82574906,9.603532735,NA,0
81,41.83857179,9.5943754,NA,0
82,41.84561297,9.597127208,NA,0.333333333
83,41.84888361,9.600722991,NA,0
84,41.84920986,9.602725886,NA,0
851,41.83884613,9.593433589,NA,1
86,41.84534242,9.598520698,NA,0
87,41.83794419,9.595527896,NA,0.5
88,41.84329137,9.595989917,NA,0
89,41.84025247,9.598345704,NA,0.333333333
901,41.8074101,9.609527421,NA,0
91,41.82224534,9.593759073,NA,0
92,41.84135424,9.59183202,NA,0
931,41.84210872,9.598258186,NA,1
94,41.84287916,9.591313585,NA,0
95,41.8453143,9.591880801,NA,0.2
96,41.82558611,9.609126317,NA,0
971,41.84590044,9.587946112,NA,0.8
98,41.83860571,9.594076992,NA,0
99,41.84188595,9.595558786,NA,0
100,41.8471478,9.589074165,NA,0.5
101,41.84722032,9.601025781,NA,0
102,41.83552573,9.59477981,NA,0
103,41.84627368,9.5977632,NA,0
104,41.84754464,9.620202644,NA,0.2
105,41.83928935,9.594188829,NA,0
106,41.8462371,9.590111549,NA,0
107,41.84109428,9.606505724,NA,0
1081,41.84543397,9.598583184,NA,1
109,41.85046023,9.602028986,NA,0
110,41.81750347,9.604855804,NA,0
1111,41.85274947,9.609074798,NA,1
112,41.83559806,9.600190738,NA,0
113,41.84532619,9.587851455,NA,0.333333333
114,41.84324526,9.595918022,NA,0
115,41.85107293,9.60345133,NA,0
116,41.84353749,9.594939927,NA,0
117,41.8460247,9.587565655,NA,0.666666667
118,41.84485716,9.591640635,NA,0
119,41.84259432,9.604090293,NA,0
120,41.8451613,9.592089845,NA,0.5
121,41.83254332,9.603937892,NA,0
122,41.83056923,9.595326306,NA,0.166666667
123,41.83409753,9.600365653,NA,0
124,41.8400809,9.600696011,NA,0
125,41.83876121,9.597445487,NA,0.25
126,41.83921623,9.594153292,NA,0
127,41.84130418,9.596747046,NA,0
128,41.84373587,9.59580558,NA,0.6
129,41.8488965,9.603351825,NA,0
1301,41.81927535,9.614354557,NA,0
131,41.83003803,9.597128477,NA,0
132,41.84379191,9.595976769,NA,0.666666667
133,41.8297304,9.595161514,NA,0
134,41.84166874,9.591341591,NA,0
135,41.83854072,9.593923943,NA,0
136,41.84659648,9.598266458,NA,0.666666667
137,41.83201014,9.596741934,NA,0
138,41.84413649,9.594727218,NA,0.5
